Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2023-1112;Queja;Contestado;2023-12-30;LIBRO;GERENCIA DE SERVICIOS SOCIALES;SEGOVIA;El interesado se queja de varias cosas: cenas deficientes, cambio de planta, y de la podóloga
2023-1109;Queja;Contestado;2023-12-29;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;OAMR horario tarde
2023-1110;Queja;Contestado;2023-12-29;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;OAMR horario tarde
2023-1111;Sugerencia Interna;Contestado;2023-12-29;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Análisis SINTROM en SACYL CONECTA
2023-1108;Queja;Contestado;2023-12-28;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
2023-1105;Queja;Contestado;2023-12-27;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Descontento del procedimiento de acreditación de competencias profesionales
2023-1106;Queja;Contestado;2023-12-27;Servicio 012;GERENCIA REGIONAL DE SALUD;VALLADOLID;
2023-1107;Queja;Contestado;2023-12-27;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Trato inadecuado en zona infantil
2023-1100;Queja;Contestado;2023-12-26;Servicio 012;CONSEJERIA DE EDUCACION;SALAMANCA;Queja relativa a actuacion IES MATEO HERNANDEZ
2023-1102;Queja;Contestado;2023-12-26;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
2023-1104;Queja;Prestacional;2023-12-26;WEB;CONSEJERIA DE SANIDAD;LEÓN;Diagnóstico Hospital El Bierzo
2023-1101;Queja;Contestado;2023-12-26;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2023-1103;Queja;Contestado;2023-12-26;WEB;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;Registro cerrado, atención deficiente y mal funcionamiento tramites electrónicos
2023-1098;Queja;Contestado;2023-12-22;OAMR;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Falta de personal en la atención de ayudas del S.T. Movilidad en Ponferrada
2023-1099;Queja;Contestado;2023-12-22;ESCRITO;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Presidente de la junta de residentes solicita finalización de las obras y aumento de la cuota
2023-1092;Queja;Contestado;2023-12-20;OAMR;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Falta de atención personal en oficina inf. GTSS BU
2023-1093;Queja;Contestado;2023-12-20;WEB;CONSEJERIA DE EDUCACION;ZAMORA;No contestación a mi solicitud de reconocimiento de servicios previos
2023-1094;Queja;Contestado;2023-12-20;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Falta personal oficina de información GTSS
2023-1097;Sugerencia;Contestado;2023-12-20;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Asociación Burgalesa de Esclerosis Múltiple de M. de Ebro
2023-1096;Sugerencia;Anulada;2023-12-20;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;
2023-1091;Queja;Contestado;2023-12-20;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;ZAMORA;Plazo excesivo de tramitación
2023-1095;Queja;Contestado;2023-12-20;OAMR;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Residencia Virgen de las Viñas
2023-1087;Queja;Anulada;2023-12-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;Anulada por ser una queja igual a otra
2023-1089;Queja;Contestado;2023-12-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;Mal estado de finca colindante con la carretera
2023-1090;Sugerencia Interna;Remitida Órgano;2023-12-19;ESCRITO;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Dotar de medios informaticos en la Oficina Información y Atención al Ciudadano de Palencia
2023-1088;Queja;Contestado;2023-12-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;ZAMORA;Estado de las carreteras ZA-925 y ZA-921
2023-1085;Queja;Contestado;2023-12-17;WEB;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Deficiencias en el edificio, mobiliario y libros
2023-1086;Queja;Tributos;2023-12-17;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;AVILA;
2023-1084;Queja;Prestacional;2023-12-16;WEB;GERENCIA REGIONAL DE SALUD;SALAMANCA;
2023-1081;Queja;Contestado;2023-12-15;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Negarse al registro de solicitud de asuntos propios por empleado público
2023-1083;Queja;Remitido Órgano;2023-12-15;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Revisión de criterios valoración aprobado
2023-1082;Queja;Contestado;2023-12-15;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-1075;Queja;Anulada;2023-12-14;WEB;CONSEJERIA DE EDUCACION;LEÓN;Anulada por ser una queja igual a otra
2023-1076;Queja;Contestado;2023-12-14;OAMR;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
